drugA	drugB	drugA_for_disease	drugB_for_disease	drugcomb	adv/app
DB00232	DB01089	False	True	('DB00232', 'DB01089')	0
DB00310	DB00575	False	True	('DB00310', 'DB00575')	0
DB00350	DB00396	True	False	('DB00350', 'DB00396')	0
DB00350	DB00443	True	False	('DB00350', 'DB00443')	0
DB00350	DB00158	True	False	('DB00158', 'DB00350')	0
DB00457	DB01324	True	False	('DB00457', 'DB01324')	0
DB00820	DB08932	True	True	('DB00820', 'DB08932')	0
DB00820	DB01216	True	False	('DB00820', 'DB01216')	0
DB00880	DB00968	False	True	('DB00880', 'DB00968')	0
DB00883	DB01275	False	True	('DB00883', 'DB01275')	0
DB00968	DB00999	True	False	('DB00968', 'DB00999')	0
DB00999	DB01275	False	True	('DB00999', 'DB01275')	0
DB02701	DB00350	False	True	('DB00350', 'DB02701')	0
DB00001	DB01626	False	True	('DB00001', 'DB01626')	1
DB00005	DB12945	False	True	('DB00005', 'DB12945')	1
DB00005	DB00575	False	True	('DB00005', 'DB00575')	1
DB00005	DB08931	False	True	('DB00005', 'DB08931')	1
DB00005	DB00559	False	True	('DB00005', 'DB00559')	1
DB00005	DB04840	False	True	('DB00005', 'DB04840')	1
DB00005	DB00590	False	True	('DB00005', 'DB00590')	1
DB00005	DB06403	False	True	('DB00005', 'DB06403')	1
DB00005	DB00820	False	True	('DB00005', 'DB00820')	1
DB00006	DB01626	False	True	('DB00006', 'DB01626')	1
DB00007	DB00325	False	True	('DB00007', 'DB00325')	1
DB00007	DB00657	False	True	('DB00007', 'DB00657')	1
DB00007	DB01018	False	True	('DB00007', 'DB01018')	1
DB00007	DB01170	False	True	('DB00007', 'DB01170')	1
DB00007	DB01275	False	True	('DB00007', 'DB01275')	1
DB00007	DB08932	False	True	('DB00007', 'DB08932')	1
DB00007	DB00820	False	True	('DB00007', 'DB00820')	1
DB00007	DB00968	False	True	('DB00007', 'DB00968')	1
DB00008	DB12945	False	True	('DB00008', 'DB12945')	1
DB00008	DB00575	False	True	('DB00008', 'DB00575')	1
DB00009	DB01626	False	True	('DB00009', 'DB01626')	1
DB00009	DB01180	False	True	('DB00009', 'DB01180')	1
DB00011	DB12945	False	True	('DB00011', 'DB12945')	1
DB00011	DB00575	False	True	('DB00011', 'DB00575')	1
DB00013	DB01626	False	True	('DB00013', 'DB01626')	1
DB00013	DB01180	False	True	('DB00013', 'DB01180')	1
DB00014	DB00325	False	True	('DB00014', 'DB00325')	1
DB00014	DB00657	False	True	('DB00014', 'DB00657')	1
DB00014	DB00820	False	True	('DB00014', 'DB00820')	1
DB00014	DB00968	False	True	('DB00014', 'DB00968')	1
DB00014	DB01018	False	True	('DB00014', 'DB01018')	1
DB00014	DB01170	False	True	('DB00014', 'DB01170')	1
DB00014	DB01275	False	True	('DB00014', 'DB01275')	1
DB00014	DB08932	False	True	('DB00014', 'DB08932')	1
DB00015	DB01626	False	True	('DB00015', 'DB01626')	1
DB00015	DB01180	False	True	('DB00015', 'DB01180')	1
DB00016	DB01180	False	True	('DB00016', 'DB01180')	1
DB00017	DB00325	False	True	('DB00017', 'DB00325')	1
DB00017	DB00657	False	True	('DB00017', 'DB00657')	1
DB00017	DB00820	False	True	('DB00017', 'DB00820')	1
DB00017	DB00968	False	True	('DB00017', 'DB00968')	1
DB00017	DB01018	False	True	('DB00017', 'DB01018')	1
DB00017	DB01170	False	True	('DB00017', 'DB01170')	1
DB00017	DB01275	False	True	('DB00017', 'DB01275')	1
DB00017	DB08932	False	True	('DB00017', 'DB08932')	1
DB00018	DB12945	False	True	('DB00018', 'DB12945')	1
DB00018	DB00575	False	True	('DB00018', 'DB00575')	1
DB00022	DB00575	False	True	('DB00022', 'DB00575')	1
DB00022	DB12945	False	True	('DB00022', 'DB12945')	1
DB00022	DB04840	False	True	('DB00022', 'DB04840')	1
DB00022	DB00559	False	True	('DB00022', 'DB00559')	1
DB00022	DB00590	False	True	('DB00022', 'DB00590')	1
DB00026	DB12945	False	True	('DB00026', 'DB12945')	1
DB00026	DB00575	False	True	('DB00026', 'DB00575')	1
DB00026	DB08931	False	True	('DB00026', 'DB08931')	1
DB00026	DB00559	False	True	('DB00026', 'DB00559')	1
DB00026	DB04840	False	True	('DB00026', 'DB04840')	1
DB00026	DB00590	False	True	('DB00026', 'DB00590')	1
DB00026	DB06403	False	True	('DB00026', 'DB06403')	1
DB00026	DB00820	False	True	('DB00026', 'DB00820')	1
DB00029	DB01626	False	True	('DB00029', 'DB01626')	1
DB00029	DB01180	False	True	('DB00029', 'DB01180')	1
DB00030	DB01626	False	True	('DB00030', 'DB01626')	1
DB00030	DB00559	False	True	('DB00030', 'DB00559')	1
DB00030	DB01119	False	True	('DB00030', 'DB01119')	1
DB00030	DB01180	False	True	('DB00030', 'DB01180')	1
DB00030	DB00575	False	True	('DB00030', 'DB00575')	1
DB00031	DB01626	False	True	('DB00031', 'DB01626')	1
DB00031	DB01180	False	True	('DB00031', 'DB01180')	1
DB00033	DB12945	False	True	('DB00033', 'DB12945')	1
DB00033	DB00575	False	True	('DB00033', 'DB00575')	1
DB00034	DB12945	False	True	('DB00034', 'DB12945')	1
DB00034	DB00575	False	True	('DB00034', 'DB00575')	1
DB00035	DB00350	False	True	('DB00035', 'DB00350')	1
DB00035	DB00457	False	True	('DB00035', 'DB00457')	1
DB00035	DB00559	False	True	('DB00035', 'DB00559')	1
DB00035	DB00590	False	True	('DB00035', 'DB00590')	1
DB00035	DB00765	False	True	('DB00035', 'DB00765')	1
DB00035	DB01089	False	True	('DB00035', 'DB01089')	1
DB00035	DB01116	False	True	('DB00035', 'DB01116')	1
DB00035	DB04840	False	True	('DB00035', 'DB04840')	1
DB00035	DB06403	False	True	('DB00035', 'DB06403')	1
DB00035	DB06762	False	True	('DB00035', 'DB06762')	1
DB00035	DB08931	False	True	('DB00035', 'DB08931')	1
DB00035	DB09206	False	True	('DB00035', 'DB09206')	1
DB00035	DB09363	False	True	('DB00035', 'DB09363')	1
DB00035	DB12945	False	True	('DB00035', 'DB12945')	1
DB00035	DB13211	False	True	('DB00035', 'DB13211')	1
DB00035	DB13410	False	True	('DB00035', 'DB13410')	1
DB00035	DB13429	False	True	('DB00035', 'DB13429')	1
DB00035	DB13435	False	True	('DB00035', 'DB13435')	1
DB00035	DB13452	False	True	('DB00035', 'DB13452')	1
DB00035	DB13575	False	True	('DB00035', 'DB13575')	1
DB00035	DB13604	False	True	('DB00035', 'DB13604')	1
DB00035	DB13631	False	True	('DB00035', 'DB13631')	1
DB00035	DB13779	False	True	('DB00035', 'DB13779')	1
DB00035	DB01119	False	True	('DB00035', 'DB01119')	1
DB00035	DB00217	False	True	('DB00035', 'DB00217')	1
DB00035	DB00575	False	True	('DB00035', 'DB00575')	1
DB00035	DB01180	False	True	('DB00035', 'DB01180')	1
DB00035	DB01626	False	True	('DB00035', 'DB01626')	1
DB00035	DB09242	False	True	('DB00035', 'DB09242')	1
DB00035	DB11738	False	True	('DB00035', 'DB11738')	1
DB00035	DB12661	False	True	('DB00035', 'DB12661')	1
DB00035	DB00325	False	True	('DB00035', 'DB00325')	1
DB00035	DB00657	False	True	('DB00035', 'DB00657')	1
DB00035	DB00820	False	True	('DB00035', 'DB00820')	1
DB00035	DB00968	False	True	('DB00035', 'DB00968')	1
DB00035	DB01018	False	True	('DB00035', 'DB01018')	1
DB00035	DB01170	False	True	('DB00035', 'DB01170')	1
DB00035	DB01275	False	True	('DB00035', 'DB01275')	1
DB00035	DB08932	False	True	('DB00035', 'DB08932')	1
DB00041	DB01626	False	True	('DB00041', 'DB01626')	1
DB00041	DB00350	False	True	('DB00041', 'DB00350')	1
DB00041	DB00457	False	True	('DB00041', 'DB00457')	1
DB00041	DB09242	False	True	('DB00041', 'DB09242')	1
DB00041	DB08931	False	True	('DB00041', 'DB08931')	1
DB00041	DB01119	False	True	('DB00041', 'DB01119')	1
DB00041	DB00325	False	True	('DB00041', 'DB00325')	1
DB00041	DB00657	False	True	('DB00041', 'DB00657')	1
DB00041	DB00968	False	True	('DB00041', 'DB00968')	1
DB00041	DB01018	False	True	('DB00041', 'DB01018')	1
DB00041	DB01170	False	True	('DB00041', 'DB01170')	1
DB00041	DB01275	False	True	('DB00041', 'DB01275')	1
DB00041	DB08932	False	True	('DB00041', 'DB08932')	1
DB00041	DB00820	False	True	('DB00041', 'DB00820')	1
DB00041	DB00590	False	True	('DB00041', 'DB00590')	1
DB00041	DB00575	False	True	('DB00041', 'DB00575')	1
DB00041	DB00217	False	True	('DB00041', 'DB00217')	1
DB00041	DB00765	False	True	('DB00041', 'DB00765')	1
DB00041	DB01089	False	True	('DB00041', 'DB01089')	1
DB00041	DB01116	False	True	('DB00041', 'DB01116')	1
DB00041	DB01180	False	True	('DB00041', 'DB01180')	1
DB00041	DB04840	False	True	('DB00041', 'DB04840')	1
DB00041	DB09206	False	True	('DB00041', 'DB09206')	1
DB00041	DB09363	False	True	('DB00041', 'DB09363')	1
DB00041	DB11738	False	True	('DB00041', 'DB11738')	1
DB00041	DB12661	False	True	('DB00041', 'DB12661')	1
DB00041	DB12945	False	True	('DB00041', 'DB12945')	1
DB00041	DB13211	False	True	('DB00041', 'DB13211')	1
DB00041	DB13410	False	True	('DB00041', 'DB13410')	1
DB00041	DB13429	False	True	('DB00041', 'DB13429')	1
DB00041	DB13435	False	True	('DB00041', 'DB13435')	1
DB00041	DB13452	False	True	('DB00041', 'DB13452')	1
DB00041	DB13575	False	True	('DB00041', 'DB13575')	1
DB00041	DB13604	False	True	('DB00041', 'DB13604')	1
DB00041	DB13631	False	True	('DB00041', 'DB13631')	1
DB00041	DB13779	False	True	('DB00041', 'DB13779')	1
DB00041	DB00559	False	True	('DB00041', 'DB00559')	1
DB00041	DB06403	False	True	('DB00041', 'DB06403')	1
DB00041	DB06762	False	True	('DB00041', 'DB06762')	1
DB00042	DB00765	False	True	('DB00042', 'DB00765')	1
DB00042	DB00657	False	True	('DB00042', 'DB00657')	1
DB00042	DB01116	False	True	('DB00042', 'DB01116')	1
DB00042	DB01018	False	True	('DB00042', 'DB01018')	1
DB00042	DB01626	False	True	('DB00042', 'DB01626')	1
DB00042	DB12661	False	True	('DB00042', 'DB12661')	1
DB00042	DB00575	False	True	('DB00042', 'DB00575')	1
DB00046	DB01626	False	True	('DB00046', 'DB01626')	1
DB00046	DB00559	False	True	('DB00046', 'DB00559')	1
DB00046	DB01119	False	True	('DB00046', 'DB01119')	1
DB00046	DB01180	False	True	('DB00046', 'DB01180')	1
DB00046	DB00575	False	True	('DB00046', 'DB00575')	1
DB00047	DB01119	False	True	('DB00047', 'DB01119')	1
DB00047	DB01626	False	True	('DB00047', 'DB01626')	1
DB00047	DB00559	False	True	('DB00047', 'DB00559')	1
DB00047	DB01180	False	True	('DB00047', 'DB01180')	1
DB00047	DB00575	False	True	('DB00047', 'DB00575')	1
DB00049	DB00325	False	True	('DB00049', 'DB00325')	1
DB00051	DB12945	False	True	('DB00051', 'DB12945')	1
DB00051	DB00575	False	True	('DB00051', 'DB00575')	1
DB00051	DB08931	False	True	('DB00051', 'DB08931')	1
DB00051	DB00559	False	True	('DB00051', 'DB00559')	1
DB00051	DB04840	False	True	('DB00051', 'DB04840')	1
DB00051	DB00590	False	True	('DB00051', 'DB00590')	1
DB00051	DB06403	False	True	('DB00051', 'DB06403')	1
DB00051	DB00820	False	True	('DB00051', 'DB00820')	1
DB00052	DB00968	False	True	('DB00052', 'DB00968')	1
DB00052	DB12945	False	True	('DB00052', 'DB12945')	1
DB00052	DB00575	False	True	('DB00052', 'DB00575')	1
DB00054	DB01626	False	True	('DB00054', 'DB01626')	1
DB00055	DB01626	False	True	('DB00055', 'DB01626')	1
DB00060	DB12945	False	True	('DB00060', 'DB12945')	1
DB00060	DB00575	False	True	('DB00060', 'DB00575')	1
DB00063	DB01626	False	True	('DB00063', 'DB01626')	1
DB00065	DB00968	False	True	('DB00065', 'DB00968')	1
DB00065	DB12945	False	True	('DB00065', 'DB12945')	1
DB00065	DB00575	False	True	('DB00065', 'DB00575')	1
DB00065	DB08931	False	True	('DB00065', 'DB08931')	1
DB00065	DB00559	False	True	('DB00065', 'DB00559')	1
DB00065	DB04840	False	True	('DB00065', 'DB04840')	1
DB00065	DB00590	False	True	('DB00065', 'DB00590')	1
DB00065	DB06403	False	True	('DB00065', 'DB06403')	1
DB00065	DB00820	False	True	('DB00065', 'DB00820')	1
DB00067	DB04840	False	True	('DB00067', 'DB04840')	1
DB00067	DB00657	False	True	('DB00067', 'DB00657')	1
DB00067	DB01116	False	True	('DB00067', 'DB01116')	1
DB00067	DB00968	False	True	('DB00067', 'DB00968')	1
DB00068	DB12945	False	True	('DB00068', 'DB12945')	1
DB00068	DB00575	False	True	('DB00068', 'DB00575')	1
DB00069	DB12945	False	True	('DB00069', 'DB12945')	1
DB00069	DB00575	False	True	('DB00069', 'DB00575')	1
DB00070	DB00217	False	True	('DB00070', 'DB00217')	1
DB00070	DB00575	False	True	('DB00070', 'DB00575')	1
DB00070	DB00968	False	True	('DB00070', 'DB00968')	1
DB00071	DB01626	False	True	('DB00071', 'DB01626')	1
DB00071	DB00559	False	True	('DB00071', 'DB00559')	1
DB00071	DB01119	False	True	('DB00071', 'DB01119')	1
DB00071	DB12945	False	True	('DB00071', 'DB12945')	1
