drugA	drugB	drugcomb	adv/app
DB09048	DB00377	('DB00377', 'DB09048')	0
DB00290	DB00997	('DB00290', 'DB00997')	1
DB00290	DB00773	('DB00290', 'DB00773')	1
DB01101	DB00526	('DB00526', 'DB01101')	1
DB00531	DB00262	('DB00262', 'DB00531')	1
DB00531	DB00773	('DB00531', 'DB00773')	1
DB00291	DB00541	('DB00291', 'DB00541')	1
DB00531	DB00997	('DB00531', 'DB00997')	1
DB01211	DB08910	('DB01211', 'DB08910')	1
DB00531	DB00563	('DB00531', 'DB00563')	1
DB00515	DB00563	('DB00515', 'DB00563')	1
DB00531	DB01248	('DB00531', 'DB01248')	1
DB00531	DB01041	('DB00531', 'DB01041')	1
DB00958	DB00541	('DB00541', 'DB00958')	1
DB00531	DB00541	('DB00531', 'DB00541')	1
DB00531	DB00188	('DB00188', 'DB00531')	1
DB01234	DB00531	('DB00531', 'DB01234')	1
DB01234	DB00987	('DB00987', 'DB01234')	1
DB01234	DB01181	('DB01181', 'DB01234')	1
DB00445	DB00531	('DB00445', 'DB00531')	1
DB00445	DB00515	('DB00445', 'DB00515')	1
DB00445	DB00526	('DB00445', 'DB00526')	1
DB00773	DB00635	('DB00635', 'DB00773')	1
DB00773	DB00959	('DB00773', 'DB00959')	1
DB00544	DB00997	('DB00544', 'DB00997')	1
DB01073	DB00531	('DB00531', 'DB01073')	1
DB00544	DB00445	('DB00445', 'DB00544')	1
DB01073	DB00987	('DB00987', 'DB01073')	1
DB01073	DB01204	('DB01073', 'DB01204')	1
DB00650	DB00544	('DB00544', 'DB00650')	1
DB00441	DB01234	('DB00441', 'DB01234')	1
DB00441	DB00515	('DB00441', 'DB00515')	1
DB00441	DB00526	('DB00441', 'DB00526')	1
DB00441	DB00361	('DB00361', 'DB00441')	1
DB01177	DB00694	('DB00694', 'DB01177')	1
DB01181	DB00958	('DB00958', 'DB01181')	1
DB00762	DB00650	('DB00650', 'DB00762')	1
DB01181	DB00541	('DB00541', 'DB01181')	1
DB00432	DB09343	('DB00432', 'DB09343')	0
DB00563	DB00650	('DB00563', 'DB00650')	1
DB09110	DB00997	('DB00997', 'DB09110')	1
DB00563	DB00290	('DB00290', 'DB00563')	1
DB09110	DB01181	('DB01181', 'DB09110')	1
DB00305	DB00563	('DB00305', 'DB00563')	1
DB00888	DB00541	('DB00541', 'DB00888')	1
DB00563	DB00570	('DB00563', 'DB00570')	1
DB00305	DB00309	('DB00305', 'DB00309')	1
DB00515	DB00997	('DB00515', 'DB00997')	1
DB01168	DB01206	('DB01168', 'DB01206')	1
DB00515	DB00773	('DB00515', 'DB00773')	1
DB01033	DB00541	('DB00541', 'DB01033')	1
DB00635	DB00997	('DB00635', 'DB00997')	1
DB00563	DB00997	('DB00563', 'DB00997')	1
DB00073	DB06769	('DB00073', 'DB06769')	1
DB00073	DB00531	('DB00073', 'DB00531')	1
DB00073	DB01234	('DB00073', 'DB01234')	1
DB00073	DB01073	('DB00073', 'DB01073')	1
DB00888	DB00997	('DB00888', 'DB00997')	1
DB00352	DB00987	('DB00352', 'DB00987')	1
DB01248	DB00958	('DB00958', 'DB01248')	1
DB01041	DB01234	('DB01041', 'DB01234')	1
DB01229	DB01181	('DB01181', 'DB01229')	1
DB00570	DB00997	('DB00570', 'DB00997')	1
DB00541	DB00970	('DB00541', 'DB00970')	1
DB00541	DB00997	('DB00541', 'DB00997')	1
DB00188	DB01234	('DB00188', 'DB01234')	1
DB00361	DB00515	('DB00361', 'DB00515')	1
DB00570	DB01181	('DB00570', 'DB01181')	1
DB00188	DB01041	('DB00188', 'DB01041')	1
DB00694	DB00987	('DB00694', 'DB00987')	0
DB05258	DB00112	('DB00112', 'DB05258')	0
DB06317	DB00480	('DB00480', 'DB06317')	0
DB11595	DB00112	('DB00112', 'DB11595')	1
DB11595	DB05239	('DB05239', 'DB11595')	1
DB11595	DB08881	('DB08881', 'DB11595')	1
DB11595	DB00530	('DB00530', 'DB11595')	1
DB11595	DB11363	('DB11363', 'DB11595')	1
DB09035	DB00112	('DB00112', 'DB09035')	1
DB09037	DB06589	('DB06589', 'DB09037')	1
DB09037	DB08912	('DB08912', 'DB09037')	1
DB11714	DB08912	('DB08912', 'DB11714')	1
DB09035	DB01268	('DB01268', 'DB09035')	1
DB09035	DB06589	('DB06589', 'DB09035')	1
DB09035	DB06186	('DB06186', 'DB09035')	1
DB09035	DB14851	('DB09035', 'DB14851')	1
DB09035	DB16348	('DB09035', 'DB16348')	1
DB09035	DB12077	('DB09035', 'DB12077')	1
DB11595	DB16352	('DB11595', 'DB16352')	1
DB11595	DB11930	('DB11595', 'DB11930')	1
DB11595	DB15439	('DB11595', 'DB15439')	1
DB11717	DB11595	('DB11595', 'DB11717')	1
DB11717	DB11714	('DB11714', 'DB11717')	1
DB11717	DB09037	('DB09037', 'DB11717')	1
DB09037	DB13896	('DB09037', 'DB13896')	1
DB11714	DB11771	('DB11714', 'DB11771')	1
DB09037	DB00515	('DB00515', 'DB09037')	1
DB15383	DB00480	('DB00480', 'DB15383')	1
DB15383	DB06688	('DB06688', 'DB15383')	1
DB11595	DB00958	('DB00958', 'DB11595')	1
DB09035	DB00441	('DB00441', 'DB09035')	1
DB09035	DB00642	('DB00642', 'DB09035')	1
DB00002	DB00112	('DB00002', 'DB00112')	0
DB00112	DB00530	('DB00112', 'DB00530')	0
DB00112	DB02546	('DB00112', 'DB02546')	0
DB00188	DB00997	('DB00188', 'DB00997')	0
DB00188	DB00480	('DB00188', 'DB00480')	0
DB00188	DB00773	('DB00188', 'DB00773')	0
DB00188	DB08881	('DB00188', 'DB08881')	0
DB00188	DB02546	('DB00188', 'DB02546')	0
DB00213	DB00563	('DB00213', 'DB00563')	0
DB00307	DB00553	('DB00307', 'DB00553')	0
DB00317	DB00641	('DB00317', 'DB00641')	0
DB00317	DB01248	('DB00317', 'DB01248')	0
DB00317	DB00762	('DB00317', 'DB00762')	0
DB00317	DB00072	('DB00317', 'DB00072')	0
DB00398	DB00997	('DB00398', 'DB00997')	0
DB00398	DB08881	('DB00398', 'DB08881')	0
DB00398	DB04960	('DB00398', 'DB04960')	0
DB00398	DB00112	('DB00398', 'DB00112')	0
DB00399	DB00997	('DB00399', 'DB00997')	0
DB00441	DB01248	('DB00441', 'DB01248')	0
DB00441	DB01229	('DB00441', 'DB01229')	0
DB00445	DB01248	('DB00445', 'DB01248')	0
DB00480	DB01234	('DB00480', 'DB01234')	0
DB00482	DB01586	('DB00482', 'DB01586')	0
DB00530	DB01248	('DB00530', 'DB01248')	0
DB00530	DB00642	('DB00530', 'DB00642')	0
DB00530	DB00072	('DB00530', 'DB00072')	0
DB00530	DB00002	('DB00530', 'DB00002')	0
DB00570	DB00641	('DB00570', 'DB00641')	0
DB00570	DB04868	('DB00570', 'DB04868')	0
DB00570	DB00188	('DB00570', 'DB00188')	0
DB00570	DB01259	('DB00570', 'DB01259')	0
DB00570	DB06616	('DB00570', 'DB06616')	0
DB00619	DB00877	('DB00619', 'DB00877')	0
DB00619	DB00112	('DB00619', 'DB00112')	0
DB00641	DB00694	('DB00641', 'DB00694')	0
DB00641	DB01259	('DB00641', 'DB01259')	0
DB00641	DB02546	('DB00641', 'DB02546')	0
DB00641	DB00188	('DB00641', 'DB00188')	0
DB00641	DB04868	('DB00641', 'DB04868')	0
DB00641	DB08881	('DB00641', 'DB08881')	0
DB00641	DB06616	('DB00641', 'DB06616')	0
DB00688	DB00877	('DB00688', 'DB00877')	0
DB00694	DB08881	('DB00694', 'DB08881')	0
DB00694	DB01259	('DB00694', 'DB01259')	0
DB00717	DB01006	('DB00717', 'DB01006')	0
DB00762	DB01248	('DB00762', 'DB01248')	0
DB00877	DB00775	('DB00877', 'DB00775')	0
DB00997	DB01248	('DB00997', 'DB01248')	0
DB00997	DB01229	('DB00997', 'DB01229')	0
DB01030	DB00641	('DB01030', 'DB00641')	0
DB01030	DB08881	('DB01030', 'DB08881')	0
DB01030	DB01259	('DB01030', 'DB01259')	0
DB01030	DB06616	('DB01030', 'DB06616')	0
DB01229	DB08881	('DB01229', 'DB08881')	0
DB01248	DB01254	('DB01248', 'DB01254')	0
DB01254	DB00112	('DB01254', 'DB00112')	0
DB01259	DB01229	('DB01259', 'DB01229')	0
DB01259	DB08881	('DB01259', 'DB08881')	0
DB01259	DB00072	('DB01259', 'DB00072')	0
DB02546	DB00694	('DB02546', 'DB00694')	0
DB02546	DB08881	('DB02546', 'DB08881')	0
DB02546	DB01259	('DB02546', 'DB01259')	0
DB02546	DB06616	('DB02546', 'DB06616')	0
DB03496	DB02546	('DB03496', 'DB02546')	0
DB03496	DB00641	('DB03496', 'DB00641')	0
DB03496	DB08881	('DB03496', 'DB08881')	0
DB03496	DB06616	('DB03496', 'DB06616')	0
DB06616	DB00188	('DB06616', 'DB00188')	0
DB06616	DB00694	('DB06616', 'DB00694')	0
DB06616	DB08881	('DB06616', 'DB08881')	0
DB06616	DB01259	('DB06616', 'DB01259')	0
DB06616	DB01229	('DB06616', 'DB01229')	0
