Interaction_A(DrugBank_ID)	Interaction_B(DrugBank_ID)	adv/app	drugcomb
DB00193	DB00051	0	(DB00193,DB00051)
DB00126	DB01395	0	(DB00126,DB01395)
DB00163	DB00051	0	(DB00163,DB00051)
DB00945	DB00627	0	(DB00945,DB00627)
DB01142	DB00860	0	(DB01142,DB00860)
DB00060	DB00108	0	(DB00060,DB00108)
DB00482	DB00051	0	(DB00482,DB00051)
DB00318	DB00051	0	(DB00318,DB00051)
DB00956	DB00898	0	(DB00956,DB00898)
DB00956	DB01395	0	(DB00956,DB01395)
DB01097	DB00005	0	(DB01097,DB00005)
DB00398	DB00316	0	(DB00398,DB00316)
DB00697	DB00108	0	(DB00697,DB00108)
DB00533	DB00580	0	(DB00533,DB00580)
DB00328	DB00563	0	(DB00328,DB00563)
DB00328	DB00051	0	(DB00328,DB00051)
DB00203	DB00440	0	(DB00203,DB00440)
DB00203	DB00559	0	(DB00203,DB00559)
DB00814	DB00563	0	(DB00814,DB00563)
DB00814	DB00051	0	(DB00814,DB00051)
DB00630	DB00586	0	(DB00630,DB00586)
DB00630	DB00005	0	(DB00630,DB00005)
DB00630	DB00158	0	(DB00630,DB00158)
DB00630	DB00051	0	(DB00630,DB00051)
DB00630	DB00860	0	(DB00630,DB00860)
DB00630	DB00563	0	(DB00630,DB00563)
DB00490	DB01156	0	(DB00490,DB01156)
DB01327	DB00668	0	(DB01327,DB00668)
DB01327	DB06692	0	(DB01327,DB06692)
DB00722	DB00627	0	(DB00722,DB00627)
DB01203	DB00436	0	(DB01203,DB00436)
DB00436	DB00860	0	(DB00436,DB00860)
DB00575	DB00051	0	(DB00575,DB00051)
DB00966	DB00381	0	(DB00966,DB00381)
DB01197	DB00421	0	(DB01197,DB00421)
DB01197	DB00695	0	(DB01197,DB00695)
DB01197	DB01136	0	(DB01197,DB01136)
DB01029	DB00999	0	(DB01029,DB00999)
DB00381	DB01076	0	(DB00381,DB01076)
DB00571	DB00999	0	(DB00571,DB00999)
DB00384	DB00158	0	(DB00384,DB00158)
DB00384	DB00051	0	(DB00384,DB00051)
DB00384	DB00999	0	(DB00384,DB00999)
DB00999	DB00051	0	(DB00999,DB00051)
DB00999	DB00691	0	(DB00999,DB00691)
DB00999	DB00968	0	(DB00999,DB00968)
DB00373	DB00999	0	(DB00373,DB00999)
DB00968	DB00999	0	(DB00968,DB00999)
DB00594	DB00999	0	(DB00594,DB00999)
DB01275	DB00999	0	(DB01275,DB00999)
DB00264	DB00381	0	(DB00264,DB00381)
DB01023	DB00264	0	(DB01023,DB00264)
DB04861	DB00808	0	(DB04861,DB00808)
DB01197	DB00999	0	(DB01197,DB00999)
DB00691	DB00999	0	(DB00691,DB00999)
DB00381	DB00335	0	(DB00381,DB00335)
DB00381	DB00966	0	(DB00381,DB00966)
DB00381	DB01029	0	(DB00381,DB01029)
DB00612	DB00999	0	(DB00612,DB00999)
DB00966	DB00999	0	(DB00966,DB00999)
DB00335	DB00999	0	(DB00335,DB00999)
DB00335	DB01115	0	(DB00335,DB01115)
DB00335	DB00436	0	(DB00335,DB00436)
DB00436	DB01203	0	(DB00436,DB01203)
DB01193	DB00999	0	(DB01193,DB00999)
DB00999	DB00373	0	(DB00999,DB00373)
DB00999	DB00421	0	(DB00999,DB00421)
DB00999	DB00264	0	(DB00999,DB00264)
DB00999	DB01029	0	(DB00999,DB01029)
DB00722	DB00999	0	(DB00722,DB00999)
DB00714	DB00413	1	(DB00714,DB00413)
DB00762	DB00317	1	(DB00762,DB00317)
DB00408	DB01224	1	(DB00408,DB01224)
DB00408	DB00334	1	(DB00408,DB00334)
DB00408	DB00734	1	(DB00408,DB00734)
DB00608	DB00795	1	(DB00608,DB00795)
DB00909	DB00246	1	(DB00909,DB00246)
DB00623	DB00734	1	(DB00623,DB00734)
DB00623	DB00502	1	(DB00623,DB00502)
DB00623	DB01238	1	(DB00623,DB01238)
DB00623	DB00334	1	(DB00623,DB00334)
DB00623	DB00472	1	(DB00623,DB00472)
DB00623	DB00246	1	(DB00623,DB00246)
DB01406	DB01115	1	(DB01406,DB01115)
DB00277	DB01115	1	(DB00277,DB01115)
DB00277	DB00829	1	(DB00277,DB00829)
DB00277	DB00661	1	(DB00277,DB00661)
DB00277	DB00502	1	(DB00277,DB00502)
DB00277	DB00586	1	(DB00277,DB00586)
DB00277	DB00999	1	(DB00277,DB00999)
DB00277	DB00590	1	(DB00277,DB00590)
DB00277	DB00231	1	(DB00277,DB00231)
DB00277	DB00381	1	(DB00277,DB00381)
DB00277	DB01069	1	(DB00277,DB01069)
DB00277	DB00575	1	(DB00277,DB00575)
DB00277	DB00321	1	(DB00277,DB00321)
DB00277	DB01036	1	(DB00277,DB01036)
DB00277	DB00472	1	(DB00277,DB00472)
