drugA	drugB	drugcomb	adv/app
DB00690	DB00559	('DB00559', 'DB00690')	1
DB00897	DB00559	('DB00559', 'DB00897')	1
DB00358	DB00559	('DB00358', 'DB00559')	1
DB08932	DB00834	('DB00834', 'DB08932')	1
DB08932	DB01254	('DB01254', 'DB08932')	1
DB01259	DB00559	('DB00559', 'DB01259')	1
DB00475	DB00559	('DB00475', 'DB00559')	1
DB00996	DB00457	('DB00457', 'DB00996')	1
DB00996	DB00590	('DB00590', 'DB00996')	1
DB01427	DB00457	('DB00457', 'DB01427')	1
DB01427	DB00590	('DB00590', 'DB01427')	1
DB00539	DB00559	('DB00539', 'DB00559')	1
DB06702	DB00559	('DB00559', 'DB06702')	1
DB00205	DB00559	('DB00205', 'DB00559')	1
DB00683	DB00559	('DB00559', 'DB00683')	1
DB00257	DB00559	('DB00257', 'DB00559')	1
DB01059	DB00559	('DB00559', 'DB01059')	1
DB00496	DB00559	('DB00496', 'DB00559')	1
DB00909	DB00559	('DB00559', 'DB00909')	1
DB00404	DB00559	('DB00404', 'DB00559')	1
DB00559	DB00285	('DB00285', 'DB00559')	1
DB00559	DB01621	('DB00559', 'DB01621')	1
DB00559	DB00497	('DB00497', 'DB00559')	1
DB00559	DB00956	('DB00559', 'DB00956')	1
DB00559	DB00317	('DB00317', 'DB00559')	1
DB00559	DB00499	('DB00499', 'DB00559')	1
DB00559	DB01175	('DB00559', 'DB01175')	1
DB00559	DB00215	('DB00215', 'DB00559')	1
DB00559	DB01166	('DB00559', 'DB01166')	1
DB00559	DB00608	('DB00559', 'DB00608')	1
DB00559	DB00121	('DB00121', 'DB00559')	1
DB00457	DB01354	('DB00457', 'DB01354')	1
DB00457	DB01353	('DB00457', 'DB01353')	1
DB00968	DB01354	('DB00968', 'DB01354')	1
DB00968	DB01353	('DB00968', 'DB01353')	1
DB01275	DB00956	('DB00956', 'DB01275')	1
DB01275	DB01354	('DB01275', 'DB01354')	1
DB01275	DB01353	('DB01275', 'DB01353')	1
DB01018	DB00834	('DB00834', 'DB01018')	1
DB01018	DB01254	('DB01018', 'DB01254')	1
DB00590	DB01354	('DB00590', 'DB01354')	1
DB00590	DB01353	('DB00590', 'DB01353')	1
DB01275	DB00313	('DB00313', 'DB01275')	0
DB00575	DB00412	('DB00412', 'DB00575')	0
DB00232	DB01089	('DB00232', 'DB01089')	0
DB00310	DB00575	('DB00310', 'DB00575')	0
DB00350	DB00396	('DB00350', 'DB00396')	0
DB00350	DB00443	('DB00350', 'DB00443')	0
DB00350	DB00158	('DB00158', 'DB00350')	0
DB00457	DB01324	('DB00457', 'DB01324')	0
DB00820	DB08932	('DB00820', 'DB08932')	0
DB00820	DB01216	('DB00820', 'DB01216')	0
DB00880	DB00968	('DB00880', 'DB00968')	0
DB00883	DB01275	('DB00883', 'DB01275')	0
DB00968	DB00999	('DB00968', 'DB00999')	0
DB00999	DB01275	('DB00999', 'DB01275')	0
DB02701	DB00350	('DB00350', 'DB02701')	0
DB00001	DB01626	('DB00001', 'DB01626')	1
DB00005	DB12945	('DB00005', 'DB12945')	1
DB00005	DB00575	('DB00005', 'DB00575')	1
DB00005	DB08931	('DB00005', 'DB08931')	1
DB00005	DB00559	('DB00005', 'DB00559')	1
DB00005	DB04840	('DB00005', 'DB04840')	1
DB00005	DB00590	('DB00005', 'DB00590')	1
DB00005	DB06403	('DB00005', 'DB06403')	1
DB00005	DB00820	('DB00005', 'DB00820')	1
DB00006	DB01626	('DB00006', 'DB01626')	1
DB00007	DB00325	('DB00007', 'DB00325')	1
DB00007	DB00657	('DB00007', 'DB00657')	1
DB00007	DB01018	('DB00007', 'DB01018')	1
DB00007	DB01170	('DB00007', 'DB01170')	1
DB00007	DB01275	('DB00007', 'DB01275')	1
DB00007	DB08932	('DB00007', 'DB08932')	1
DB00007	DB00820	('DB00007', 'DB00820')	1
DB00007	DB00968	('DB00007', 'DB00968')	1
DB00008	DB12945	('DB00008', 'DB12945')	1
DB00008	DB00575	('DB00008', 'DB00575')	1
DB00009	DB01626	('DB00009', 'DB01626')	1
DB00009	DB01180	('DB00009', 'DB01180')	1
DB00011	DB12945	('DB00011', 'DB12945')	1
DB00011	DB00575	('DB00011', 'DB00575')	1
DB00013	DB01626	('DB00013', 'DB01626')	1
DB00013	DB01180	('DB00013', 'DB01180')	1
DB00014	DB00325	('DB00014', 'DB00325')	1
DB00014	DB00657	('DB00014', 'DB00657')	1
DB00014	DB00820	('DB00014', 'DB00820')	1
DB00014	DB00968	('DB00014', 'DB00968')	1
DB00014	DB01018	('DB00014', 'DB01018')	1
DB00014	DB01170	('DB00014', 'DB01170')	1
DB00014	DB01275	('DB00014', 'DB01275')	1
DB00014	DB08932	('DB00014', 'DB08932')	1
DB00015	DB01626	('DB00015', 'DB01626')	1
DB00015	DB01180	('DB00015', 'DB01180')	1
DB00016	DB01180	('DB00016', 'DB01180')	1
DB00017	DB00325	('DB00017', 'DB00325')	1
DB00017	DB00657	('DB00017', 'DB00657')	1
DB00017	DB00820	('DB00017', 'DB00820')	1
DB00017	DB00968	('DB00017', 'DB00968')	1
DB00017	DB01018	('DB00017', 'DB01018')	1
DB00017	DB01170	('DB00017', 'DB01170')	1
DB00017	DB01275	('DB00017', 'DB01275')	1
DB00017	DB08932	('DB00017', 'DB08932')	1
DB00018	DB12945	('DB00018', 'DB12945')	1
DB00018	DB00575	('DB00018', 'DB00575')	1
DB00022	DB00575	('DB00022', 'DB00575')	1
DB00022	DB12945	('DB00022', 'DB12945')	1
DB00022	DB04840	('DB00022', 'DB04840')	1
DB00022	DB00559	('DB00022', 'DB00559')	1
DB00022	DB00590	('DB00022', 'DB00590')	1
DB00026	DB12945	('DB00026', 'DB12945')	1
DB00026	DB00575	('DB00026', 'DB00575')	1
DB00026	DB08931	('DB00026', 'DB08931')	1
DB00026	DB00559	('DB00026', 'DB00559')	1
DB00026	DB04840	('DB00026', 'DB04840')	1
DB00026	DB00590	('DB00026', 'DB00590')	1
DB00026	DB06403	('DB00026', 'DB06403')	1
DB00026	DB00820	('DB00026', 'DB00820')	1
DB00029	DB01626	('DB00029', 'DB01626')	1
DB00029	DB01180	('DB00029', 'DB01180')	1
DB00030	DB01626	('DB00030', 'DB01626')	1
DB00030	DB00559	('DB00030', 'DB00559')	1
DB00030	DB01119	('DB00030', 'DB01119')	1
DB00030	DB01180	('DB00030', 'DB01180')	1
DB00030	DB00575	('DB00030', 'DB00575')	1
DB00031	DB01626	('DB00031', 'DB01626')	1
DB00031	DB01180	('DB00031', 'DB01180')	1
DB00033	DB12945	('DB00033', 'DB12945')	1
DB00033	DB00575	('DB00033', 'DB00575')	1
DB00034	DB12945	('DB00034', 'DB12945')	1
DB00034	DB00575	('DB00034', 'DB00575')	1
DB00035	DB00350	('DB00035', 'DB00350')	1
DB00035	DB00457	('DB00035', 'DB00457')	1
DB00035	DB00559	('DB00035', 'DB00559')	1
DB00035	DB00590	('DB00035', 'DB00590')	1
DB00035	DB00765	('DB00035', 'DB00765')	1
DB00035	DB01089	('DB00035', 'DB01089')	1
DB00035	DB01116	('DB00035', 'DB01116')	1
DB00035	DB04840	('DB00035', 'DB04840')	1
DB00035	DB06403	('DB00035', 'DB06403')	1
DB00035	DB06762	('DB00035', 'DB06762')	1
DB00035	DB08931	('DB00035', 'DB08931')	1
DB00035	DB09206	('DB00035', 'DB09206')	1
DB00035	DB09363	('DB00035', 'DB09363')	1
DB00035	DB12945	('DB00035', 'DB12945')	1
DB00035	DB13211	('DB00035', 'DB13211')	1
DB00035	DB13410	('DB00035', 'DB13410')	1
DB00035	DB13429	('DB00035', 'DB13429')	1
DB00035	DB13435	('DB00035', 'DB13435')	1
DB00035	DB13452	('DB00035', 'DB13452')	1
DB00035	DB13575	('DB00035', 'DB13575')	1
DB00035	DB13604	('DB00035', 'DB13604')	1
DB00035	DB13631	('DB00035', 'DB13631')	1
DB00035	DB13779	('DB00035', 'DB13779')	1
DB00035	DB01119	('DB00035', 'DB01119')	1
DB00035	DB00217	('DB00035', 'DB00217')	1
DB00035	DB00575	('DB00035', 'DB00575')	1
DB00035	DB01180	('DB00035', 'DB01180')	1
DB00035	DB01626	('DB00035', 'DB01626')	1
DB00035	DB09242	('DB00035', 'DB09242')	1
DB00035	DB11738	('DB00035', 'DB11738')	1
DB00035	DB12661	('DB00035', 'DB12661')	1
DB00035	DB00325	('DB00035', 'DB00325')	1
DB00035	DB00657	('DB00035', 'DB00657')	1
DB00035	DB00820	('DB00035', 'DB00820')	1
DB00035	DB00968	('DB00035', 'DB00968')	1
DB00035	DB01018	('DB00035', 'DB01018')	1
DB00035	DB01170	('DB00035', 'DB01170')	1
DB00035	DB01275	('DB00035', 'DB01275')	1
DB00035	DB08932	('DB00035', 'DB08932')	1
DB00041	DB01626	('DB00041', 'DB01626')	1
DB00041	DB00350	('DB00041', 'DB00350')	1
DB00041	DB00457	('DB00041', 'DB00457')	1
DB00041	DB09242	('DB00041', 'DB09242')	1
DB00041	DB08931	('DB00041', 'DB08931')	1
DB00041	DB01119	('DB00041', 'DB01119')	1
DB00041	DB00325	('DB00041', 'DB00325')	1
DB00041	DB00657	('DB00041', 'DB00657')	1
DB00041	DB00968	('DB00041', 'DB00968')	1
DB00041	DB01018	('DB00041', 'DB01018')	1
DB00041	DB01170	('DB00041', 'DB01170')	1
DB00041	DB01275	('DB00041', 'DB01275')	1
DB00041	DB08932	('DB00041', 'DB08932')	1
DB00041	DB00820	('DB00041', 'DB00820')	1
DB00041	DB00590	('DB00041', 'DB00590')	1
DB00041	DB00575	('DB00041', 'DB00575')	1
DB00041	DB00217	('DB00041', 'DB00217')	1
DB00041	DB00765	('DB00041', 'DB00765')	1
DB00041	DB01089	('DB00041', 'DB01089')	1
DB00041	DB01116	('DB00041', 'DB01116')	1
DB00041	DB01180	('DB00041', 'DB01180')	1
DB00041	DB04840	('DB00041', 'DB04840')	1
DB00041	DB09206	('DB00041', 'DB09206')	1
DB00041	DB09363	('DB00041', 'DB09363')	1
DB00041	DB11738	('DB00041', 'DB11738')	1
DB00041	DB12661	('DB00041', 'DB12661')	1
DB00041	DB12945	('DB00041', 'DB12945')	1
DB00041	DB13211	('DB00041', 'DB13211')	1
DB00041	DB13410	('DB00041', 'DB13410')	1
DB00041	DB13429	('DB00041', 'DB13429')	1
DB00041	DB13435	('DB00041', 'DB13435')	1
DB00041	DB13452	('DB00041', 'DB13452')	1
DB00041	DB13575	('DB00041', 'DB13575')	1
DB00041	DB13604	('DB00041', 'DB13604')	1
DB00041	DB13631	('DB00041', 'DB13631')	1
DB00041	DB13779	('DB00041', 'DB13779')	1
DB00041	DB00559	('DB00041', 'DB00559')	1
DB00041	DB06403	('DB00041', 'DB06403')	1
DB00041	DB06762	('DB00041', 'DB06762')	1
DB00042	DB00765	('DB00042', 'DB00765')	1
DB00042	DB00657	('DB00042', 'DB00657')	1
DB00042	DB01116	('DB00042', 'DB01116')	1
DB00042	DB01018	('DB00042', 'DB01018')	1
DB00042	DB01626	('DB00042', 'DB01626')	1
DB00042	DB12661	('DB00042', 'DB12661')	1
DB00042	DB00575	('DB00042', 'DB00575')	1
DB00046	DB01626	('DB00046', 'DB01626')	1
DB00046	DB00559	('DB00046', 'DB00559')	1
DB00046	DB01119	('DB00046', 'DB01119')	1
DB00046	DB01180	('DB00046', 'DB01180')	1
DB00046	DB00575	('DB00046', 'DB00575')	1
DB00047	DB01119	('DB00047', 'DB01119')	1
